"Program","Authors","Year","Grade","Grade.Band","Level.Achievement","Level.Poverty","Total.Cluster","Treatment.Cluster","Control.Cluster","Total.N","Treatment.N","Control.N","Posttest","Effect Size"
"Investigations in Number, Data, and Space","Agodini et al.","2010","1","K-2","AllAchiever","AllPoverty","57","28","29","2396","1127","1269","ECLS-K","0.00"
"Investigations in Number, Data, and Space","Agodini et al.","2010","2","K-2","AllAchiever","AllPoverty","36","18","18","1623","814","809","ECLS-K","+0.09"
"Investigations in Number, Data, and Space","Agodini et al.","2010","1, 2","K-2","HighAchiever","AllPoverty","93","46","47","1157","621","536","ECLS-K","+0.04"
"Investigations in Number, Data, and Space","Agodini et al.","2010","1, 2","K-2","LowAchiever","AllPoverty","93","46","47","1048","524","524","ECLS-K","+0.04"
"Investigations in Number, Data, and Space","Agodini et al.","2010","1, 2","K-2","AllAchiever","LowPoverty","93","46","47","1814","796","1018","ECLS-K","-0.05"
"Investigations in Number, Data, and Space","Agodini et al.","2010","1, 2","K-2","AllAchiever","HighPoverty","93","46","47","2205","1145","1060","ECLS-K","+0.02"
"Math Expressions","Agodini et al.","2010","1","K-2","AllAchiever","AllPoverty","55","26","29","2481","1212","1269","ECLS-K","+0.11"
"Math Expressions","Agodini et al.","2010","2","K-2","AllAchiever","AllPoverty","35","17","18","1633","824","809","ECLS-K","+0.12"
"Math Expressions","Agodini et al.","2010","1, 2","K-2","HighAchiever","AllPoverty","90","43","47","3066","1512","1554","ECLS-K","+0.11"
"Math Expressions","Agodini et al.","2010","1, 2","K-2","LowAchiever","AllPoverty","90","43","47","1048","524","524","ECLS-K","+0.12"
"Math Expressions","Agodini et al.","2010","1, 2","K-2","AllAchiever","LowPoverty","90","43","47","2016","998","1018","ECLS-K","+0.11"
"Math Expressions","Agodini et al.","2010","1, 2","K-2","AllAchiever","HighPoverty","90","43","47","2098","1038","1060","ECLS-K","+0.11"
"Saxon Math","Agodini et al.","2010","1","K-2","AllAchiever","AllPoverty","55","26","29","2377","1108","1269","ECLS-K","+0.07"
"Saxon Math","Agodini et al.","2010","2","K-2","AllAchiever","AllPoverty","36","18","18","1706","897","809","ECLS-K","+0.17"
"Saxon Math","Agodini et al.","2010","1, 2","K-2","HighAchiever","AllPoverty","91","44","47","3035","1481","1554","ECLS-K","+0.09"
"Saxon Math","Agodini et al.","2010","1, 2","K-2","LowAchiever","AllPoverty","91","44","47","1048","524","524","ECLS-K","+0.18"
"Saxon Math","Agodini et al.","2010","1, 2","K-2","AllAchiever","LowPoverty","91","44","47","2121","1103","1018","ECLS-K","+0.05"
"Saxon Math","Agodini et al.","2010","1, 2","K-2","AllAchiever","HighPoverty","91","44","47","1962","902","1060","ECLS-K","+0.17"
"ScratchMaths","Boylan et al.","2018","Year 5, 6 (grade 4, 5)","3-6","AllAchiever","LowPoverty","110","55","55","4185","2014","2171","Key Stage 2","0.00"
"ScratchMaths","Boylan et al.","2018","Year 5, 6 (grade 4, 5)","3-6","AllAchiever","HighPoverty","110","55","55","1633","789","844","Key Stage 2","+0.01"
"Using Data","Cavalluzzo et al.","2014","4, 5","3-6","AllAchiever","LowPoverty","59","30","29","10877","5384","4903","FCAT","+0.01"
"Early Learning in Mathematics","Clarke et al.","2015","K","K-2","HighAchiever","LowPoverty","129","68","61","1461","806","655","TEMA-3","+0.05"
"Early Learning in Mathematics","Clarke et al.","2015","K","K-2","LowAchiever","LowPoverty","129","68","61","655","328","327","TEMA-3","+0.24"
"Fusion Math","Clarke et al.","2014","1","K-2","LowAchiever","LowPoverty",NA,NA,NA,"78","38","40","SAT-10","+0.11"
"ROOTS","Clarke et al.","2016","K","K-2","LowAchiever","AllPoverty",NA,NA,NA,"290","203","87","TEMA-3","+0.32"
"ROOTS","Clarke et al.","2016","K","K-2","LowAchiever","AllPoverty",NA,NA,NA,"290","203","87","NSB","+0.16"
"ROOTS","Clarke et al.","2016","K","K-2","LowAchiever","AllPoverty",NA,NA,NA,"290","203","87","SESAT","+0.001"
