"Program","Authors","Year","Publication.Status","Table number","Table topic","Technology","Tutoring.Provider","Tutoring.Type","Tutoring.ExtraTime","Design","Randomized","Clustered","Unit of assignment","Grade","Duration","Duration.Band","Sample Description","International","Urbanicity","AA.P","H.P","ELL.P","FRL.P"
"Math Recovery","Smith et al.","2013","unpublished","1","Tutoring","0","Teachers","One-to-one","Extra Time","Quasi-experiment","0","0","Students","1","1 year","one year","Low achieving students from 5 urban, suburban, and rural districts
 48% minority, 15% ELL, 65% FRL","0","Urban + Suburban + Rural","NA","NA","15","65"
"Numbers Count","Torgerson et al.","2013","published","1","Tutoring","0","Teachers","One-to-one","Extra Time","Student randomized","1","0","Students","Year 2 (grade 1)","12 weeks","less than one year","Low performing students in 44 schools across England, 75% FRL","1","NA","NA","NA","NA","75"
"Catch Up® Numeracy","Hodgen et al.","2019","unpublished","1","Tutoring","0","Paraprofessionals","One-to-one","No Extra Time","Cluster randomized","1","1","Schools","year 4, 5 (grade 3, 4)","1 year","one year","Urban and rural schools in England. Underperforming students.
22% FRL","1","Urbal + Rural","NA","NA","NA","22"
"Catch Up® Numeracy","Rutt et al.","2014","unpublished","1","Tutoring","0","Paraprofessionals","One-to-one","No Extra Time","Student randomized","1","0","Students","Year 2-6 (grade 1-5)","30 weeks","less than one year","54 schools in Oxford, Southend and Thurrock, UK
struggling students in numeracy
35% FRL","1","NA","NA","NA","NA","35"
"Galaxy Math","Fuchs et al.","2013a","published","1","Tutoring","0","Paraprofessionals","One-to-one","Not Possible","Student randomized","1","0","Students","1","16 weeks","less than one year","Students at risk in a a metropolitan Southeast school district
 69% AA, 7% H, 83% FRL","0","Urban","69","7","NA","83"
"Maths Counts","See et al.","2018","unpublished","1","Tutoring","1","Paraprofessionals","One-to-one","Not Possible","Student randomized","1","0","Students","Year 3-6 (grade 2-5)","3 months","less than one year","Low performing students in England. 37% FRL,  54% SEN","1","NA","NA","NA","NA","37"
"Pirate Math","Fuchs et al.","2010","published","1","Tutoring","0","Paraprofessionals","One-to-one","Extra Time","Student randomized","1","0","Students","3","16 weeks","less than one year","2 urban school districts in Nashville an Houston
Low performing students
 35% SPED, 19% ELL, 56% AA, 29% H, 75% FRL","0","Urban","56","29","19","75"
"Math Corps","Parker et al.","2019","published","1","Tutoring","0","PaidVolunteers","One-to-one","Not Possible","Student randomized","1","0","Students","4-6","6 months","less than one year","12 schools in urban and rural Minnesota
low achievers
35% W, 27% AA, 20%A, 1% H, 61% FRL","0","Urban + SRural","27","1","NA","61"
"Number Rockets","Gersten et al.","2015","published","1","Tutoring","0","Teachers","One-to-small","No Extra Time","Cluster randomized","1","1","Schools","1","6 months","less than one year","4 districts across 4 southwestern states.
Student at-risk for difficulties in math.
 44% AA, 46% H, 34% FRL","0","NA","44","46","NA","34"
"1stClass@Number","Nunes et al.","2018","unpublished","1","Tutoring","1","Paraprofessionals","One-to-small","Extra Time","Cluster randomized","1","1","Schools","Year 2 (grade 1)","3 months","less than one year","Students performing below age expectations. England. 40% FRL","1","Urban + Rural","NA","NA","NA","40"
